Genus,Species,Family,Order
luňák,hnědý,jestřábovití,dravci
orel,křiklavý,jestřábovití,dravci
strakapoud,prostřední,datlovití,šplhavci
strakapoud,jižní,datlovití,šplhavci
ořešník,kropenatý,krkavcovití,pěvci
volavka,rusohlavá,volavkovití,brodiví a pelikáni
jeřábek,lesní,tetřevovití,hrabaví
ťuhýk,obecný,ťuhýkovití,pěvci
kvakoš,noční,volavkovití,brodiví a pelikáni
vrabec,domácí,vrabcovití,pěvci
slavík,obecný,lejskovití,pěvci
rybák,dlouhoocasý,rackovití,dlouhokřídlí
pěnice,vousatá,,
rybák,obecný,rackovití,dlouhokřídlí
ostříž,lesní,sokolovití,sokoli
budníček,lesní,Sylvioidea,Passerida
lejsek,bělokrký,lejskovití,pěvci
chřástal,malý,chřástalovití,krátkokřídlí
racek,černohlavý,rackovití,dlouhokřídlí
luněc,šedý,jestřábovití,dravci
rákosník,tamaryškový,Sylvioidea,Passerida
čejka,chocholatá,kulíkovití,bahňáci
kulík,zlatý,kulíkovití,bahňáci
drop,malý,dropovití,krátkokřídlí
sněhule,severní,Calcariidae,pěvci
strnad,tajgový,,
strnad,rákosní,strnadovití,pěvci
kachnička,mandarínská,kachnovití,vrubozobí
chaluha,velká,chaluhovití,racci
strnad,malinký,strnadovití,pěvci
ústřičník,velký,ústřičníkovití,dlouhokřídlí
holub,hřivnáč,holubovití,měkkozobí
mandelík,hajní,mandelíkovití,srostloprstí
sedmihlásek,malý,Sylvioidea,Passerida
polák,malý,kachnovití,vrubozobí
kulík,pacifický,kulíkovití,bahňáci
ouhorlík,stepní,ouhorlíkovití,dlouhokřídlí
strnad,zahradní,strnadovití,pěvci
hýl,rudý,pěnkavovití,pěvci
skřivánek,krátkoprstý,skřivanovití,pěvci
pěnice,hnědokřídlá,pěnicovití,pěvci
vodouš,bahenní,slukovití,bahňáci
pěnice,pokřovní,pěnicovití,pěvci
jiřička,obecná,vlaštovkovití,pěvci
racek,tenkozobý,rackovití,racci
hýl,obecný,pěnkavovití,pěvci
káně,rousná,jestřábovití,dravci
kulíšek,nejmenší,puštíkovití,sovy
strakapoud,malý,datlovití,šplhavci
racek,bělohlavý,rackovití,dlouhokřídlí
hvízdák,eurasijský,kachnovití,vrubozobí
vrána,šedá,krkavcovití,pěvci
husa,malá,kachnovití,vrubozobí
vodouš,žlutonohý,slukovití,dlouhokřídlí
holub,doupňák,holubovití,měkkozobí
pěvuška,modrá,pěvuškovití,pěvci
polák,velký,kachnovití,vrubozobí
budníček,tlustozobý,Sylvioidea,Passerida
kulík,mořský,kulíkovití,bahňáci
poštolka,obecná,sokolovití,sokoli
rákosník,obecný,Sylvioidea,Passerida
rorýs,velký,rorýsovití,svišťouni
moták,stepní,jestřábovití,dravci
žluva,hajní,žluvovití,pěvci
rákosník,plavý,Sylvioidea,Passerida
bělořit,šedý,lejskovití,pěvci
kalous,pustovka,puštíkovití,sovy
kukačka,obecná,kukačkovití,kukačky
sedmihlásek,hajní,Sylvioidea,Passerida
linduška,úhorní,konipasovití,pěvci
rorýs,obecný,rorýsovití,svišťouni
křepelka,polní,bažantovití,hrabaví
jespák,šedý,slukovití,dlouhokřídlí
rybák,černý,rackovití,dlouhokřídlí
racek,malý,rackovití,dlouhokřídlí
kopřivka,obecná,kachnovití,vrubozobí
puštík,obecný,puštíkovití,sovy
šoupálek,krátkoprstý,šoupálkovití,pěvci
brhlík,lesní,brhlíkovití,pěvci
holub,skalní,holubovití,měkkozobí
linduška,luční,konipasovití,pěvci
sojka,obecná,krkavcovití,pěvci
sýc,rousný,puštíkovití,sovy
linduška,velká,konipasovití,pěvci
konipas,luční,konipasovití,pěvci
břehule,říční,vlaštovkovití,pěvci
strnad,luční,strnadovití,pěvci
kolpík,bílý,ibisovití,brodiví a pelikáni
berneška,bělolící,kachnovití,vrubozobí
cvrčilka,říční,Sylvioidea,Passerida
králíček,ohnivý,králíčkovití,pěvci
racek,šedý,rackovití,dlouhokřídlí
strnad,obecný,strnadovití,pěvci
husa,běločelá,kachnovití,vrubozobí
racek,stříbřitý,rackovití,dlouhokřídlí
racek,středomořský,rackovití,dlouhokřídlí
mlynařík,dlouhoocasý,mlynaříkovití,pěvci
orlovec,říční,orlovcovití,dravci
pěnice,černohlavá,pěnicovití,pěvci
špaček,obecný,špačkovití,pěvci
datlík,tříprstý,datlovití,šplhavci
špaček,růžový,špačkovití,pěvci
drozd,kvíčala,drozdovití,pěvci
racek,bouřní,rackovití,dlouhokřídlí
čečetka,zimní,pěnkavovití,pěvci
orel,skalní,jestřábovití,dravci
budníček,zlatohlavý,Sylvioidea,Passerida
koroptev,polní,bažantovití,hrabaví
potáplice,žlutozobá,potáplicovití,potáplice
morčák,malý,kachnovití,vrubozobí
labuť,velká,kachnovití,vrubozobí
hoholka,lední,kachnovití,vrubozobí
pěvuška,sibiřská,pěvuškovití,pěvci
sýkora,parukářka,sýkorovití,pěvci
hrdlička,zahradní,holubovití,měkkozobí
kamenáček,pestrý,slukovití,dlouhokřídlí
