Genus,Species
jespák,obecný
alkoun,obecný
orel,jestřábí
chocholouš,obecný
konopka,žlutozobá
potáplice,lední
lyska,černá
potápka,černokrká
břehouš,černoocasý
čírka,modrá
kajka,mořská
koliha,velká
hýl,křivčí
pěnice,kaštanová
slučka,malá
pěnkavák,sněžný
skřivan,ouškatý
žluna,šedá
vodouš,velký
křivka,velká
terej,bílý
buřňák,lední
krahujec,krátkoprstý
vodouš,rudonohý
volavka,vlasatá
skalník,zpěvný
ťuhýk,rudohlavý
kavče,žlutozobé
rákosník,ostřicový
kalandra,zpěvná
běhulík,plavý
husa,sněžní
poštolka,jižní
plameňák,růžový
čírka,úzkozobá
alka,malá
drop,obojkový
zvonohlík,citronový
stepokur,kirgizský
sýkora,azurová
sedmihlásek,švitořivý
sovice,sněžní
drozd,černohrdlý
strnad,cvrčivý
tetřev,hlušec
raroh,velký
puštík,bělavý
tetřívek,obecný
sovice,krahujová
sýček,obecný
hrdlička,východní
ibis,posvátný
polák,dlouhozobý
hrdlička,chechtavá
orel,východní
rosela,pestrá
zebřička,pestrá
morčák,chocholatý
alexandr,velký
husice,australská
alexandr,malý
agapornis,škraboškový
holoubek,diamantový
rosela,Pennantova
káně,Harrisova
ostralka,bělolící
pižmovka,americká
orebice,rudá
husa,tibetská
majna,hnědá
husa,labutí
emu,hnědý
lžičák,tečkovaný
slípka,africká
kachnička,hřívnatá
andulka,vlnkovaná
mníšek,šedý
ostralka,žlutozobá
berneška,malá
kur,bankivský
husice,magellanská
hvízdák,chilský
agapornis,růžovohrdlý
agapornis,Fischerův
ostralka,rudozobá
ara,ararauna
korela,chocholatá
barnard,límcový
berneška,havajská
hýl,sibiřský
páv,korunkatý
čírka,kaštanová
kanár,divoký
husice,šedohlavá
nandu,pampový
bažant,královský
amadina,pruhovaná
plameňák,americký
bažant,zelený
arara,patagonský
papouškovec,nádherný
čírka,kropenatá
labuť,černá
kachnička,karolínská
pelikán,africký
perlička,kropenatá
kachnička,šedoboká
hohol,bělavý
papoušek,senegalský
bažant,zlatý
krocan,divoký
plameňák,chilský
alexandr,čínský
